file name,label,culture,blip2_meaning,blip2_gesture
image1.png, No, Persian,'i am not a muslim',a hand gesture
image2.png, Disbelief, Persian,'i am not a muslim',a hand gesture
image3.png, Disbelief, Persian,it means 'shh' or 'shh',a 'shh' gesture
image4.png, After you, Persian,'i am happy',a hand gesture
image5.png, Expressing Sincerity, Persian,'i am happy',a 'sadaq'
image6.png, What?, Persian,'i am happy',a 'sadaq' gesture
image7.png, God Forbid, Persian,                        ,a hand gesture
image8.png, Sure, Persian,'sacrifice',a 'shush' gesture
image9.png, I'm fed up, Persian,'i am a woman',a 'sh' gesture
image10.png, Oh No!, Persian,'i am happy',a hand on the face
image11.png, What?, Italian,'i'm sorry',a gesture of 'no'
image12.png, Why do I care?, Italian,- chin stock videos & royalty-free footage,a chin-up
image13.png, There is nothing left, Italian,it means 'no',pointing his finger
image14.png, Drink Wine, Italian,it means 'good luck',a 'favorite' gesture
image15.png, Drink Espresso, Italian,'i'm sorry',a 'favorite' gesture
image16.png, Delicious, Italian,it means 'i'm sorry',a finger to the lips
image17.png, I'll kill you, Italian,it means 'no',a fist
image18.png, get to the point, Italian,-                        ,- man in hat stock videos & royalty-free footage
image19.png, You are dumb, Italian,it means 'no',pointing his finger at the camera
image20.png, You are crazy, Italian,'i'm sorry',pointing to the right
image21.png, You are cool, Italian,it means 'yes',thumbs up
image22.png, You are in trouble, Italian,'i'm sorry',a kiss
image23.png, Blah Blah Blah, Italian,- stomping stock videos & royalty-free footage,- a gesture of surprise stock videos & royalty-free footage
image24.png, Let's Get out of here, Italian,it means 'good luck',a hand gesture
image25.png, Are you Kidding Me?, Italian,it means 'love',heart
image26.png, Are they together?, Italian,it means 'to be a good friend',a fist
image27.png, Perfect, Italian,it means 'the end',the 'finger'
image28.png, It's easy!, French,it means 'to kiss',kissing her lips
image29.png, Drunk, French,it means 'smoking',kissing her nose
image30.png, I'm Fed Up, French,it means 'save yourself',a gesture of a hand
image31.png, I don't believe you, French,it means 'to be a good friend',pointing to her face
image32.png, I'm Frustrated, French,it means 'to be a good friend',a hand gesture
image33.png, Nothing at all, French,it means ok,ok
image34.png, Your secret is safe with me, French,it means 'good luck',ok
image35.png, I knew it, French,it means 'to kiss',pointing to her finger
image36.png, Two, French,it means 'no',the 'f' sign
image37.png, I told you so, French,it means 'yes',thumbs up
image38.png, To be scared, French,it means 'i'm not going to be able to do it',a gesture of a hand
image39.png, Shut up, French,it means 'i'm happy',a french kiss
image40.png, He/She is crazy, French,it means 'to be a good friend',pointing to her eyebrows
image41.png, I'm Excited, French,'goodbye',a clap
image42.png, First, French,'no',the french finger
image43.png, I don't want to see that, French,it means 'to be frightened',a sneeze
image44.png, Let's go,French,it means 'i'm sorry',the 'feu' gesture
image45.png,Go away/ you are bad luck,Italian,it means 'i'm a rock star',the 'pivot' gesture
image46.png,Are you Crazy?, French,it means 'to be a good friend',a gesture of a 'feu'
